link,title
https://finance.yahoo.com/m/19384040-66e3-3082-ae46-5ab39dc52180/why-solar-stocks-jumped.html,Why Solar Stocks Jumped Double Digits in August
https://finance.yahoo.com/m/aea36382-acfb-3742-9bc9-4faaf25edd55/why-solar-power-stocks-are.html,Why Solar Power Stocks Are Crashing Again Friday
