link,title
https://finance.yahoo.com/news/look-pagerdutys-nyse-pd-share-172619615.html,A Look At PagerDuty's (NYSE:PD) Share Price Returns
https://finance.yahoo.com/m/5f3e3ccf-36c0-36e8-bd76-d8467f264452/why-fastly-datadog-.html,"Why Fastly, Datadog, PagerDuty, and Slack Stocks Plunged Today"
