link,title
https://finance.yahoo.com/m/76f9e5a4-fff5-3ab1-959a-8e91aba9b2aa/why-zuora-fell-out-of-favor.html,Why Zuora Fell Out of Favor With Investors This Quarter
https://finance.yahoo.com/news/clouderas-cldr-q2-earnings-revenues-143802458.html,Cloudera's (CLDR) Q2 Earnings and Revenues Increase Y/Y
